Frame,Hand,Landmark,X,Y,Z
1,0,0,0.847583532333374,0.6084038019180298,-5.9355841131036895e-08
1,0,1,0.861044704914093,0.5601178407669067,-0.0023382224608212
1,0,2,0.8684493899345398,0.4968823790550232,-0.0104213953018188
1,0,3,0.8849039673805237,0.452728271484375,-0.0193349216133356
1,0,4,0.9124945998191832,0.4303453862667084,-0.0299026891589164
1,0,5,0.85099196434021,0.4790294766426086,-0.0206416863948106
1,0,6,0.8251581788063049,0.4325847029685974,-0.0361364036798477
1,0,7,0.8046544194221497,0.402936577796936,-0.0449168980121612
1,0,8,0.7900059223175049,0.3788284659385681,-0.0518061965703964
1,0,9,0.8315661549568176,0.4941361248493194,-0.0292866304516792
1,0,10,0.7708959579467773,0.452888548374176,-0.0499428212642669
1,0,11,0.7717627286911011,0.471761018037796,-0.0513646639883518
1,0,12,0.787403404712677,0.490920752286911,-0.0487797372043132
1,0,13,0.8106011748313904,0.5169231295585632,-0.0374420620501041
1,0,14,0.7547597885131836,0.4929144084453583,-0.0555643700063228
1,0,15,0.7640668749809265,0.5102800726890564,-0.0472828447818756
1,0,16,0.7831677794456482,0.5233907699584961,-0.0380556024610996
1,0,17,0.7901898622512817,0.5414150953292847,-0.0457082018256187
1,0,18,0.7495144605636597,0.5239372849464417,-0.0561356320977211
1,0,19,0.7603005766868591,0.5379684567451477,-0.0487342290580272
1,0,20,0.7779151201248169,0.547572910785675,-0.0411541424691677
1,0,21,0.4777603447437286,0.3029992580413818,-0.8385328054428101
1,0,22,0.5226675868034363,0.2604057788848877,-0.7815086841583252
1,0,23,0.5167127847671509,0.3455727100372314,-0.6930900812149048
1,0,24,0.6898492574691772,0.5221408009529114,-0.0664479061961174
1,0,25,0.7743837833404541,0.8443906307220459,-0.353278785943985
1,1,0,0.0,0.0,0.0
1,1,1,0.0,0.0,0.0
1,1,2,0.0,0.0,0.0
1,1,3,0.0,0.0,0.0
1,1,4,0.0,0.0,0.0
1,1,5,0.0,0.0,0.0
1,1,6,0.0,0.0,0.0
1,1,7,0.0,0.0,0.0
1,1,8,0.0,0.0,0.0
1,1,9,0.0,0.0,0.0
1,1,10,0.0,0.0,0.0
1,1,11,0.0,0.0,0.0
1,1,12,0.0,0.0,0.0
1,1,13,0.0,0.0,0.0
1,1,14,0.0,0.0,0.0
1,1,15,0.0,0.0,0.0
1,1,16,0.0,0.0,0.0
1,1,17,0.0,0.0,0.0
1,1,18,0.0,0.0,0.0
1,1,19,0.0,0.0,0.0
1,1,20,0.0,0.0,0.0
1,1,21,0.4777603447437286,0.3029992580413818,-0.8385328054428101
1,1,22,0.4372260570526123,0.2647911310195923,-0.7957233786582947
1,1,23,0.4528204798698425,0.3501064777374267,-0.7133623957633972
1,1,24,0.3008688688278198,0.5112563967704773,-0.2273674607276916
1,1,25,0.2364864498376846,0.806551456451416,-0.2522531449794769
2,0,0,0.8446168303489685,0.609342634677887,-1.1593596127568165e-07
2,0,1,0.8605073690414429,0.5606181025505066,-0.0020427200943231
2,0,2,0.8687577247619629,0.4970758259296417,-0.0095520569011569
2,0,3,0.8847281336784363,0.4508115947246551,-0.0179105512797832
2,0,4,0.913731038570404,0.4272136986255646,-0.0274141430854797
2,0,5,0.8533127903938293,0.4753751456737518,-0.0183734614402055
2,0,6,0.8271982073783875,0.4269345104694366,-0.0343121476471424
2,0,7,0.8065317869186401,0.397795706987381,-0.0433670580387115
2,0,8,0.7910754680633545,0.3740176558494568,-0.0504569113254547
2,0,9,0.8337997794151306,0.4903900623321533,-0.0272047389298677
2,0,10,0.7695428729057312,0.4489675462245941,-0.0478741824626922
2,0,11,0.7716130614280701,0.4709614515304565,-0.0482510291039943
2,0,12,0.7896392345428467,0.4898122549057007,-0.0452429801225662
2,0,13,0.8123407363891602,0.51296466588974,-0.0359688252210617
2,0,14,0.7547575831413269,0.4873912930488586,-0.0546086840331554
2,0,15,0.7634586691856384,0.506106436252594,-0.045213583856821
2,0,16,0.7831300497055054,0.5186212062835693,-0.0353895612061023
2,0,17,0.7906018495559692,0.5374107360839844,-0.0449868291616439
2,0,18,0.7494820356369019,0.5190553665161133,-0.0562189742922782
2,0,19,0.7596161961555481,0.534558117389679,-0.048804722726345
2,0,20,0.7770348787307739,0.5443756580352783,-0.0411991775035858
2,0,21,0.4709155857563019,0.3089187741279602,-0.7502767443656921
2,0,22,0.5191032290458679,0.2622503638267517,-0.6978711485862732
2,0,23,0.5122001767158508,0.3526275753974914,-0.6091375350952148
2,0,24,0.6906338930130005,0.5258418917655945,-0.0041833915747702
2,0,25,0.789232611656189,0.8244128823280334,-0.2554260790348053
2,1,0,0.0,0.0,0.0
2,1,1,0.0,0.0,0.0
2,1,2,0.0,0.0,0.0
2,1,3,0.0,0.0,0.0
2,1,4,0.0,0.0,0.0
2,1,5,0.0,0.0,0.0
2,1,6,0.0,0.0,0.0
2,1,7,0.0,0.0,0.0
2,1,8,0.0,0.0,0.0
2,1,9,0.0,0.0,0.0
2,1,10,0.0,0.0,0.0
2,1,11,0.0,0.0,0.0
2,1,12,0.0,0.0,0.0
2,1,13,0.0,0.0,0.0
2,1,14,0.0,0.0,0.0
2,1,15,0.0,0.0,0.0
2,1,16,0.0,0.0,0.0
2,1,17,0.0,0.0,0.0
2,1,18,0.0,0.0,0.0
2,1,19,0.0,0.0,0.0
2,1,20,0.0,0.0,0.0
2,1,21,0.4709155857563019,0.3089187741279602,-0.7502767443656921
2,1,22,0.4321178793907165,0.2688027024269104,-0.7093324661254883
2,1,23,0.4465182423591614,0.3592408895492553,-0.6248368620872498
2,1,24,0.3015633225440979,0.5124330520629883,-0.1626230329275131
2,1,25,0.2371776551008224,0.8110033273696899,-0.1160497069358825
5,0,0,0.8371816873550415,0.5865721702575684,-8.477221768998788e-08
5,0,1,0.8522701263427734,0.5393320918083191,-0.0023581464774906
5,0,2,0.8605349659919739,0.4788181781768799,-0.0113033214583992
5,0,3,0.8731709718704224,0.4349847733974457,-0.0214622169733047
5,0,4,0.898751974105835,0.4118799865245819,-0.0330657325685024
5,0,5,0.8422651886940002,0.4533263444900512,-0.0196684449911117
5,0,6,0.8179615139961243,0.4035191237926483,-0.0367110259830951
5,0,7,0.7953130602836609,0.3726555109024048,-0.0463875904679298
5,0,8,0.7779086232185364,0.3489837944507599,-0.0534837283194065
5,0,9,0.8220522403717041,0.4674721956253052,-0.0284976474940776
5,0,10,0.7597318887710571,0.4295182526111603,-0.0501271672546863
5,0,11,0.7610780596733093,0.4502950608730316,-0.0514238327741622
5,0,12,0.7776729464530945,0.4682348072528839,-0.0486944057047367
5,0,13,0.800542950630188,0.4897741377353668,-0.0370268113911151
5,0,14,0.7436516284942627,0.4670227169990539,-0.0561979003250598
5,0,15,0.7523533701896667,0.4852431416511535,-0.0467991158366203
5,0,16,0.771338939666748,0.4973740577697754,-0.0367071889340877
5,0,17,0.7795276045799255,0.5142133235931396,-0.0457511618733406
5,0,18,0.7377495169639587,0.4979535341262817,-0.0570595748722553
5,0,19,0.7477943897247314,0.5130648016929626,-0.0488262847065925
5,0,20,0.7651354074478149,0.5226736068725586,-0.040259052067995
5,0,21,0.4740868210792541,0.3049027919769287,-0.8779219388961792
5,0,22,0.5236053466796875,0.2620984315872192,-0.8212333917617798
5,0,23,0.516071081161499,0.3465155363082886,-0.7245489358901978
5,0,24,0.6937497854232788,0.5179991126060486,-0.0686245709657669
5,0,25,0.7896896600723267,0.8262100219726562,-0.3902574479579925
5,1,0,0.0,0.0,0.0
5,1,1,0.0,0.0,0.0
5,1,2,0.0,0.0,0.0
5,1,3,0.0,0.0,0.0
